,CBERT,BERTScore,BARTScore,R-1,R-2,R-L,,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
74,0.83,0.86,0.37,0.14,0.06,0.07,,,,,,,
75,0.81,0.88,0.53,0.37,0.24,0.3,,,,,,,
76,0.76,0.86,0.34,0.4,0.16,0.21,,,,,,,
77,0.78,0.87,0.4,0.46,0.22,0.26,,,,,,,
78,0.68,0.84,0.29,0.11,0.03,0.06,,,,,,,
79,0.83,0.85,0.41,0.56,0.32,0.35,,,,,,,
80,0.84,0.86,0.44,0.58,0.35,0.38,,,,,,,
81,0.74,0.84,0.32,0.24,0.09,0.12,,,,,,,
82,0.85,0.88,0.4,0.17,0.08,0.08,,,,,,,
83,0.81,0.86,0.38,0.19,0.08,0.11,,,,,,,
84,0.85,0.87,0.52,0.15,0.09,0.11,,,,,,,
85,0.83,0.84,0.35,0.17,0.06,0.1,,,,,,,
86,0.81,0.84,0.39,0.23,0.09,0.13,,,,,,,
87,0.75,0.84,0.34,0.48,0.23,0.3,,,,,,,
88,0.83,0.83,0.33,0.25,0.09,0.14,,,,,,,
89,0.77,0.86,0.34,0.23,0.11,0.13,,,,,,,
90,0.91,0.88,0.46,0.37,0.25,0.25,,,,,,,
91,0.76,0.87,0.36,0.18,0.09,0.1,,,,,,,
92,0.72,0.86,0.29,0.13,0.04,0.08,,,,,,,
93,0.78,0.86,0.39,0.2,0.1,0.16,,,,,,,
94,0.76,0.84,0.36,0.18,0.07,0.08,,,,,,,
95,0.75,0.86,0.36,0.28,0.1,0.16,,,,,,,
96,0.78,0.83,0.32,0.27,0.1,0.14,,,,,,,
97,0.84,0.89,0.42,0.4,0.2,0.22,,,,,,,
98,0.8,0.86,0.41,0.5,0.23,0.32,,,,,,,
99,0.8,0.88,0.39,0.36,0.15,0.18,,,,,,,
100,0.78,0.87,0.4,0.11,0.06,0.08,,,,,,,
101,0.81,0.86,0.38,0.4,0.16,0.18,,,,,,,
102,0.79,0.87,0.25,0.11,0.03,0.06,,,,,,,
103,0.75,0.83,0.29,0.08,0.03,0.07,,,,,,,
104,0.59,0.82,0.3,0.3,0.07,0.14,,,,,,,
105,0.79,0.86,0.33,0.27,0.13,0.17,,,,,,,
106,0.75,0.85,0.39,0.4,0.17,0.24,,,,,,,
107,0.83,0.88,0.48,0.58,0.42,0.49,,,,,,,
108,0.78,0.83,0.33,0.18,0.06,0.09,,,,,,,
109,0.75,0.87,0.4,0.35,0.16,0.22,,,,,,,
110,0.84,0.91,0.5,0.32,0.22,0.28,,,,,,,
111,0.72,0.85,0.42,0.35,0.2,0.27,,,,,,,
112,0.8,0.85,0.34,0.14,0.04,0.08,,,,,,,
113,0.85,0.87,0.43,0.28,0.16,0.19,,,,,,,
114,0.73,0.86,0.41,0.37,0.23,0.23,,,,,,,
115,0.63,0.84,0.21,0.05,0.01,0.03,,,,,,,
116,0.78,0.87,0.38,0.14,0.06,0.08,,,,,,,
