,CBERT,BERTScore,BARTScore,R-1,R-L,,CBERT,BERTScore,BARTScore,R-1,R-L
106,0.81,0.77,0.48,1,1,,,,,,
107,0.79,0.76,0.3,0.99,0.99,,,,,,
108,0.89,0.76,0.33,1,1,,,,,,
109,0.8,0.78,0.31,0.99,0.99,,,,,,
110,0.84,0.79,0.35,1,1,,,,,,
111,0.82,0.77,0.6,0.99,0.99,,,,,,
112,0.84,0.78,0.46,1,1,,,,,,
113,0.84,0.76,0.34,1,1,,,,,,
114,0.86,0.83,0.5,1,1,,,,,,
115,0.89,0.8,0.32,1,1,,,,,,
116,0.86,0.77,0.33,1,1,,,,,,
117,0.92,0.79,0.31,1,1,,,,,,
118,0.87,0.83,0.36,1,1,,,,,,
119,0.88,0.72,0.44,0.99,0.99,,,,,,
120,0.87,0.75,0.39,0.99,0.99,,,,,,
121,0.87,0.78,0.3,1,1,,,,,,
122,0.85,0.78,0.25,0.99,0.99,,,,,,
123,0.9,0.8,0.28,1,1,,,,,,
124,0.85,0.75,0.24,0.99,0.99,,,,,,
125,0.92,0.76,0.36,1,1,,,,,,
126,0.95,0.8,0.39,1,1,,,,,,
127,0.87,0.74,0.34,1,1,,,,,,
128,0.79,0.8,0.46,0.99,0.99,,,,,,
129,0.88,0.8,0.33,1,1,,,,,,
130,0.85,0.77,0.4,0.99,0.99,,,,,,
131,0.84,0.77,0.33,1,1,,,,,,
132,0.85,0.73,0.26,1,1,,,,,,
133,0.9,0.73,0.24,1,1,,,,,,
134,0.89,0.82,0.27,1,1,,,,,,
135,0.84,0.8,0.57,1,1,,,,,,
136,0.87,0.76,0.45,1,1,,,,,,
137,0.94,0.77,0.32,1,1,,,,,,
138,0.85,0.76,0.26,1,1,,,,,,
139,0.9,0.76,0.27,0.98,0.98,,,,,,
140,0.91,0.83,0.55,0.99,0.99,,,,,,
141,0.88,0.77,0.3,1,1,,,,,,
142,0.85,0.81,0.42,1,1,,,,,,
143,0.86,0.8,0.73,0.99,0.99,,,,,,
144,0.85,0.69,0.41,1,1,,,,,,
145,0.85,0.75,0.27,1,1,,,,,,
146,0.82,0.74,0.49,1,1,,,,,,
147,0.84,0.78,0.28,0.99,0.99,,,,,,
148,0.78,0.76,0.44,1,1,,,,,,
149,0.87,0.79,0.31,1,1,,,,,,
150,0.89,0.77,0.27,1,1,,,,,,
151,0.88,0.72,0.29,1,1,,,,,,
152,0.85,0.78,0.29,0.99,0.99,,,,,,
153,0.83,0.79,0.34,1,1,,,,,,
154,0.87,0.78,0.28,0.99,0.99,,,,,,
155,0.87,0.81,0.53,0.99,0.99,,,,,,
156,0.89,0.78,0.31,1,1,,,,,,
157,0.88,0.74,0.3,1,1,,,,,,
158,0.86,0.8,0.47,1,1,,,,,,
159,0.85,0.77,0.35,1,1,,,,,,
160,0.85,0.81,0.35,1,1,,,,,,
161,0.85,0.74,0.24,1,1,,,,,,
162,0.87,0.75,0.24,1,1,,,,,,
163,0.83,0.77,0.39,1,1,,,,,,
164,0.88,0.77,0.46,1,1,,,,,,
165,0.87,0.82,0.46,0.99,0.99,,,,,,
166,0.9,0.83,0.33,0.99,0.99,,,,,,
167,0.87,0.8,0.25,0.99,0.99,,,,,,
168,0.92,0.85,0.59,1,1,,,,,,
169,0.84,0.79,0.33,1,1,,,,,,
170,0.91,0.73,0.4,1,1,,,,,,
